Анализ характеристик крылатого объекта
Время расчета: 2025-10-26 22:54:32

Параметры расчета:
Масса_кг,2400
Размах_крыла_м,3.0
Хорда_м,0.6
Площадь_крыла_м2,1.7999999999999998
Удлинение_крыла,5.0
Тяга_на_уровне_моря_кгс,450
Удельный_расход_топлива_кг_кгс_ч,0.71
Угол_стреловидности_град,8
Угол_атаки_град,10
Коэффициент_Освальда,0.85
Диапазон_высот_м,100 - 990
Диапазон_скоростей_мс,190.0 - 220.0
Диапазон_CD0,0.100 - 0.340
Оптимальная_высота_для_графиков_м,990

Результаты расчетов:
Высота_м,Скорость_мс,Число_Маха,Коэф_подъемной_силы_CL,Коэф_сопротивления_CD,CD0,Подъемная_сила_Н,Сопротивление_Н,Требуемая_тяга_Н,Требуемая_тяга_кгс,Доступная_тяга_кгс,Доступная_тяга_Н,Расход_топлива_кгч,Требуемая_тяговооруженность,Доступная_тяговооруженность,Число_Рейнольдса,Плотность_воздуха_кгм3,Скорость_звука_мс,Температура_K,Давление_Па,Вес_Н,Удлинение_крыла,Площадь_крыла_м2,Возможность_полета
230,217.85714285714286,0.6418642653525447,0.843307745771261,0.1532639507106037,0.1,43160.48172000238,7844.047414660647,7844.047414660647,799.8702324097064,357.7566814774952,3508.3945604112782,254.00724384902156,0.3333033274231328,0.14907604697961757,8788425.08708652,1.198157959445832,339.41310432274116,286.655,98592.35791349136,23534.26074472557,5.0,1.7999999999999998,False
230,217.85714285714286,0.6418642653525447,0.843307745771261,0.23326395071060368,0.18,43160.48172000238,11938.446588526102,11938.446588526102,1217.3827544091105,357.7566814774952,3508.3945604112782,254.00724384902156,0.5072794390281289,0.14907604697961757,8788425.08708652,1.198157959445832,339.41310432274116,286.655,98592.35791349136,23534.26074472557,5.0,1.7999999999999998,False
230,217.85714285714286,0.6418642653525447,0.843307745771261,0.3132639507106037,0.26,43160.48172000238,16032.845762391558,16032.845762391558,1634.8952764085145,357.7566814774952,3508.3945604112782,254.00724384902156,0.6812555506331252,0.14907604697961757,8788425.08708652,1.198157959445832,339.41310432274116,286.655,98592.35791349136,23534.26074472557,5.0,1.7999999999999998,False
230,217.85714285714286,0.6418642653525447,0.843307745771261,0.39326395071060366,0.33999999999999997,43160.48172000238,20127.24493625701,20127.24493625701,2052.4077984079186,357.7566814774952,3508.3945604112782,254.00724384902156,0.8552316622381212,0.14907604697961757,8788425.08708652,1.198157959445832,339.41310432274116,286.655,98592.35791349136,23534.26074472557,5.0,1.7999999999999998,False
230,220.0,0.6481776843560123,0.8488108721703334,0.15396138209904037,0.1,44300.933931297695,8035.515613626767,8035.515613626767,819.3945550852501,356.9174863114322,3500.1648671360063,253.41141528111683,0.3414390492562068,0.14872635708009027,8874868.612533271,1.198157959445832,339.41310432274116,286.655,98592.35791349136,23534.26074472557,5.0,1.7999999999999998,False
230,220.0,0.6481776843560123,0.8488108721703334,0.23396138209904035,0.18,44300.933931297695,12210.8564707036,12210.8564707036,1245.1608317522907,356.9174863114322,3500.1648671360063,253.41141528111683,0.5188544736184357,0.14872635708009027,8874868.612533271,1.198157959445832,339.41310432274116,286.655,98592.35791349136,23534.26074472557,5.0,1.7999999999999998,False
230,220.0,0.6481776843560123,0.8488108721703334,0.31396138209904034,0.26,44300.933931297695,16386.197327780435,16386.197327780435,1670.9271084193315,356.9174863114322,3500.1648671360063,253.41141528111683,0.6962698979806647,0.14872635708009027,8874868.612533271,1.198157959445832,339.41310432274116,286.655,98592.35791349136,23534.26074472557,5.0,1.7999999999999998,False
230,220.0,0.6481776843560123,0.8488108721703334,0.3939613820990403,0.33999999999999997,44300.933931297695,20561.53818485727,20561.53818485727,2096.693385086372,356.9174863114322,3500.1648671360063,253.41141528111683,0.8736853223428938,0.14872635708009027,8874868.612533271,1.198157959445832,339.41310432274116,286.655,98592.35791349136,23534.26074472557,5.0,1.7999999999999998,False
240,190.0,0.559853296229365,0.785587227298906,0.14622213745367726,0.1,30551.958430189294,5686.666623155769,5686.666623155769,579.8786153432385,368.40880492933456,3612.8562068602587,261.5702514998275,0.24163429376143203,0.1535152341182656,7658616.726522665,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,190.0,0.559853296229365,0.785587227298906,0.22622213745367725,0.18,30551.958430189294,8797.914603623725,8797.914603623725,897.1376161710397,368.40880492933456,3612.8562068602587,261.5702514998275,0.37383550376657554,0.1535152341182656,7658616.726522665,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,190.0,0.559853296229365,0.785587227298906,0.30622213745367727,0.26,30551.958430189294,11909.162584091684,11909.162584091684,1214.396616998841,368.40880492933456,3612.8562068602587,261.5702514998275,0.5060367137717192,0.1535152341182656,7658616.726522665,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,190.0,0.559853296229365,0.785587227298906,0.38622213745367723,0.33999999999999997,30551.958430189294,15020.410564559641,15020.410564559641,1531.6556178266424,368.40880492933456,3612.8562068602587,261.5702514998275,0.6382379237768627,0.1535152341182656,7658616.726522665,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,192.14285714285714,0.566167431149245,0.7892648102198893,0.1466559113642848,0.1,31391.25417785935,5832.913023246635,5832.913023246635,594.7915978694697,367.5700814235312,3604.631138992072,260.9747578107071,0.24784850464153063,0.15316573966093688,7744992.103137582,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,192.14285714285714,0.566167431149245,0.7892648102198893,0.22665591136428478,0.18,31391.25417785935,9014.735273156775,9014.735273156775,919.2471713741977,367.5700814235312,3604.631138992072,260.9747578107071,0.3830485125162295,0.15316573966093688,7744992.103137582,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,192.14285714285714,0.566167431149245,0.7892648102198893,0.3066559113642848,0.26,31391.25417785935,12196.557523066915,12196.557523066915,1243.7027448789256,367.5700814235312,3604.631138992072,260.9747578107071,0.5182485203909284,0.15316573966093688,7744992.103137582,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,192.14285714285714,0.566167431149245,0.7892648102198893,0.38665591136428473,0.33999999999999997,31391.25417785935,15378.379772977054,15378.379772977054,1568.1583183836535,367.5700814235312,3604.631138992072,260.9747578107071,0.6534485282656273,0.15316573966093688,7744992.103137582,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,194.28571428571428,0.572481566069125,0.7930545308562058,0.14710503150409043,0.1,32249.443603387397,5982.00405228612,5982.00405228612,609.9946518215824,366.7313579177278,3596.406071123885,260.37926412158674,0.2541835877219116,0.15281624520360815,7831367.479752499,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,194.28571428571428,0.572481566069125,0.7930545308562058,0.22710503150409045,0.18,32249.443603387397,9235.192058772374,9235.192058772374,941.7275072295203,366.7313579177278,3596.406071123885,260.37926412158674,0.3924160248441421,0.15281624520360815,7831367.479752499,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,194.28571428571428,0.572481566069125,0.7930545308562058,0.30710503150409046,0.26,32249.443603387397,12488.380065258629,12488.380065258629,1273.4603626374583,366.7313579177278,3596.406071123885,260.37926412158674,0.5306484619663727,0.15281624520360815,7831367.479752499,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,194.28571428571428,0.572481566069125,0.7930545308562058,0.3871050315040904,0.33999999999999997,32249.443603387397,15741.568071744881,15741.568071744881,1605.193218045396,366.7313579177278,3596.406071123885,260.37926412158674,0.6688808990886032,0.15281624520360815,7831367.479752499,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,196.42857142857142,0.578795700989005,0.7969602009810882,0.14757014389029396,0.1,33127.09773659937,6134.020963204667,6134.020963204667,625.4960626926287,365.8926344119244,3588.181003255698,259.7837704324663,0.2606429955514518,0.15246675074627944,7917742.856367416,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,196.42857142857142,0.578795700989005,0.7969602009810882,0.22757014389029395,0.18,33127.09773659937,9459.366213400965,9459.366213400965,964.5869092300597,365.8926344119244,3588.181003255698,259.7837704324663,0.40194149329919027,0.15246675074627944,7917742.856367416,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,196.42857142857142,0.578795700989005,0.7969602009810882,0.30757014389029397,0.26,33127.09773659937,12784.711463597265,12784.711463597265,1303.677755767491,365.8926344119244,3588.181003255698,259.7837704324663,0.5432399910469289,0.15246675074627944,7917742.856367416,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,196.42857142857142,0.578795700989005,0.7969602009810882,0.38757014389029393,0.33999999999999997,33127.09773659937,16110.056713793561,16110.056713793561,1642.7686023049218,365.8926344119244,3588.181003255698,259.7837704324663,0.6845384887946673,0.15246675074627944,7917742.856367416,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,198.57142857142858,0.5851098359088852,0.8009858461706179,0.14805193502410693,0.1,34024.81724925078,6289.049995922357,6289.049995922357,641.3046245070801,365.053910906121,3579.9559353875115,259.1882767433459,0.2672303925830838,0.15211725628895073,8004118.232982333,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,198.57142857142858,0.5851098359088852,0.8009858461706179,0.22805193502410692,0.18,34024.81724925078,9687.343976962631,9687.343976962631,987.8341714002877,365.053910906121,3579.9559353875115,259.1882767433459,0.41162858233430655,0.15211725628895073,8004118.232982333,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,198.57142857142858,0.5851098359088852,0.8009858461706179,0.30805193502410694,0.26,34024.81724925078,13085.637958002908,13085.637958002908,1334.3637182934956,365.053910906121,3579.9559353875115,259.1882767433459,0.5560267720855294,0.15211725628895073,8004118.232982333,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,198.57142857142858,0.5851098359088852,0.8009858461706179,0.3880519350241069,0.33999999999999997,34024.81724925078,16483.93193904318,16483.93193904318,1680.893265186703,365.053910906121,3579.9559353875115,259.1882767433459,0.7004249618367522,0.15211725628895073,8004118.232982333,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,200.71428571428572,0.5914239708287652,0.8051357202977416,0.1485511349761617,0.1,34943.234446561204,6447.182761752493,6447.182761752493,657.4296790190833,364.2151874003176,3571.730867519324,258.5927830542255,0.27394967150763283,0.15176776183162197,8090493.609597252,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,200.71428571428572,0.5914239708287652,0.8051357202977416,0.2285511349761617,0.18,34943.234446561204,9919.216960770675,9919.216960770675,1011.4786354943508,364.2151874003176,3571.730867519324,258.5927830542255,0.4214811846403162,0.15176776183162197,8090493.609597252,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,200.71428571428572,0.5914239708287652,0.8051357202977416,0.3085511349761617,0.26,34943.234446561204,13391.251159788857,13391.251159788857,1365.5275919696182,364.2151874003176,3571.730867519324,258.5927830542255,0.5690126977729996,0.15176776183162197,8090493.609597252,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,200.71428571428572,0.5914239708287652,0.8051357202977416,0.38855113497616167,0.33999999999999997,34943.234446561204,16863.28535880704,16863.28535880704,1719.576548444886,364.2151874003176,3571.730867519324,258.5927830542255,0.716544210905683,0.15176776183162197,8090493.609597252,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,202.85714285714286,0.5977381057486453,0.8094143212936906,0.14906852076458782,0.1,35883.0154276843,6608.5166640348125,6608.5166640348125,673.8811586051111,363.3764638945142,3563.5057996511373,257.9972893651051,0.28080497112710134,0.15141826737429326,8176868.986212167,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,202.85714285714286,0.5977381057486453,0.8094143212936906,0.22906852076458778,0.18,35883.0154276843,10155.08256816483,10155.08256816483,1035.5302338887213,363.3764638945142,3563.5057996511373,257.9972893651051,0.43150343901922156,0.15141826737429326,8176868.986212167,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,202.85714285714286,0.5977381057486453,0.8094143212936906,0.3090685207645878,0.26,35883.0154276843,13701.64847229485,13701.64847229485,1397.179309172332,363.3764638945142,3563.5057996511373,257.9972893651051,0.5822019069113419,0.15141826737429326,8176868.986212167,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,202.85714285714286,0.5977381057486453,0.8094143212936906,0.38906852076458776,0.33999999999999997,35883.0154276843,17248.21437642487,17248.21437642487,1758.8283844559426,363.3764638945142,3563.5057996511373,257.9972893651051,0.7329003748034622,0.15141826737429326,8176868.986212167,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,205.0,0.6040522406685254,0.8138264083067852,0.14960492005829995,0.1,36844.86243236269,6773.1553590416,6773.1553590416,690.6696332633061,362.5377403887108,3555.2807317829506,257.40179567598466,0.2878006959392044,0.15106877291696455,8263244.362827085,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,205.0,0.6040522406685254,0.8138264083067852,0.22960492005829994,0.18,36844.86243236269,10395.044455417386,10395.044455417386,1059.9995365815428,362.5377403887108,3555.2807317829506,257.40179567598466,0.44169974996873784,0.15106877291696455,8263244.362827085,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,205.0,0.6040522406685254,0.8138264083067852,0.3096049200583,0.26,36844.86243236269,14016.933551793176,14016.933551793176,1429.32943989978,362.5377403887108,3555.2807317829506,257.40179567598466,0.5955988039982715,0.15106877291696455,8263244.362827085,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,205.0,0.6040522406685254,0.8138264083067852,0.38960492005829994,0.33999999999999997,36844.86243236269,17638.822648168963,17638.822648168963,1798.6593432180168,362.5377403887108,3555.2807317829506,257.40179567598466,0.749497858027805,0.15106877291696455,8263244.362827085,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,207.14285714285714,0.6103663755884053,0.8183770204044468,0.15016121524226927,0.1,37829.51639308963,6941.209261724303,6941.209261724303,707.8063621852829,361.69901688290736,3547.055663914763,256.8063019868642,0.2949415376272393,0.15071927845963579,8349619.739442003,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,207.14285714285714,0.6103663755884053,0.8183770204044468,0.23016121524226926,0.18,37829.51639308963,10639.21303747979,10639.21303747979,1084.8978027644293,361.69901688290736,3547.055663914763,256.8063019868642,0.45207480917216236,0.15071927845963579,8349619.739442003,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,207.14285714285714,0.6103663755884053,0.8183770204044468,0.3101612152422693,0.26,37829.51639308963,14337.21681323528,14337.21681323528,1461.9892433435762,361.69901688290736,3547.055663914763,256.8063019868642,0.6092080807170855,0.15071927845963579,8349619.739442003,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,207.14285714285714,0.6103663755884053,0.8183770204044468,0.39016121524226927,0.33999999999999997,37829.51639308963,18035.220588990767,18035.220588990767,1839.0806839227228,361.69901688290736,3547.055663914763,256.8063019868642,0.7663413522620086,0.15071927845963579,8349619.739442003,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,209.28571428571428,0.6166805105082854,0.8230714969822774,0.15073834788640433,0.1,38837.75971445907,7112.79610147011,7112.79610147011,725.3033504275273,360.860293377104,3538.8305960465764,256.2108082977438,0.302232498674948,0.15036978400230708,8435995.11605692,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,209.28571428571428,0.6166805105082854,0.8230714969822774,0.23073834788640435,0.18,38837.75971445907,10887.706043739228,10887.706043739228,1110.2370374938669,360.860293377104,3538.8305960465764,256.2108082977438,0.46263361911323697,0.15036978400230708,8435995.11605692,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,209.28571428571428,0.6166805105082854,0.8230714969822774,0.31073834788640436,0.26,38837.75971445907,14662.615986008348,14662.615986008348,1495.1707245602065,360.860293377104,3538.8305960465764,256.2108082977438,0.623034739551526,0.15036978400230708,8435995.11605692,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,209.28571428571428,0.6166805105082854,0.8230714969822774,0.3907383478864043,0.33999999999999997,38837.75971445907,18437.525928277464,18437.525928277464,1880.1044116265457,360.860293377104,3538.8305960465764,256.2108082977438,0.7834358599898149,0.15036978400230708,8435995.11605692,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,211.42857142857142,0.6229946454281654,0.8279155000646525,0.15133732366525246,0.1,39870.41930407795,7288.041533730658,7288.041533730658,743.1734112801679,360.0215698713006,3530.6055281783897,255.6153146086234,0.3096789183554629,0.15002028954497837,8522370.492671836,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,211.42857142857142,0.6229946454281654,0.8279155000646525,0.23133732366525245,0.18,39870.41930407795,11140.649129647336,11140.649129647336,1136.0300540599835,360.0215698713006,3530.6055281783897,255.6153146086234,0.47338151906509396,0.15002028954497837,8522370.492671836,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,211.42857142857142,0.6229946454281654,0.8279155000646525,0.31133732366525246,0.26,39870.41930407795,14993.256725564017,14993.256725564017,1528.8866968397992,360.0215698713006,3530.6055281783897,255.6153146086234,0.6370841197747252,0.15002028954497837,8522370.492671836,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,211.42857142857142,0.6229946454281654,0.8279155000646525,0.3913373236652524,0.33999999999999997,39870.41930407795,18845.864321480694,18845.864321480694,1921.7433396196147,360.0215698713006,3530.6055281783897,255.6153146086234,0.8007867204843563,0.15002028954497837,8522370.492671836,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,213.57142857142856,0.6293087803480455,0.8329150387048417,0.15195921778217406,0.1,40928.36988249294,7467.079814183891,7467.079814183891,761.430235012353,359.1828463654972,3522.380460310203,255.019820919503,0.31728650137737224,0.14967079508764966,8608745.869286753,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,213.57142857142856,0.6293087803480455,0.8329150387048417,0.23195921778217404,0.18,40928.36988249294,11398.176550882063,11398.176550882063,1162.290542731928,359.1828463654972,3522.380460310203,255.019820919503,0.48432421373632184,0.14967079508764966,8608745.869286753,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,213.57142857142856,0.6293087803480455,0.8329150387048417,0.31195921778217406,0.26,40928.36988249294,15329.273287580236,15329.273287580236,1563.1508504515034,359.1828463654972,3522.380460310203,255.019820919503,0.6513619260952715,0.14967079508764966,8608745.869286753,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,213.57142857142856,0.6293087803480455,0.8329150387048417,0.391959217782174,0.33999999999999997,40928.36988249294,19260.370024278407,19260.370024278407,1964.0111581710787,359.1828463654972,3522.380460310203,255.019820919503,0.8183996384542211,0.14967079508764966,8608745.869286753,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,215.71428571428572,0.6356229152679256,0.8380764957196745,0.1526051809590866,0.1,42012.53760311083,7650.054543013535,7650.054543013535,780.0884647676359,358.34412285969375,3514.1553924420155,254.42432723038254,0.32506134951017956,0.1493213006303209,8695121.24590167,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,215.71428571428572,0.6356229152679256,0.8380764957196745,0.2326051809590866,0.18,42012.53760311083,11660.431907627133,11660.431907627133,1189.033146653254,358.34412285969375,3514.1553924420155,254.42432723038254,0.49546780489642417,0.1493213006303209,8695121.24590167,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,215.71428571428572,0.6356229152679256,0.8380764957196745,0.3126051809590866,0.26,42012.53760311083,15670.809272240731,15670.809272240731,1597.9778285388722,358.34412285969375,3514.1553924420155,254.42432723038254,0.6658742602826687,0.1493213006303209,8695121.24590167,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,215.71428571428572,0.6356229152679256,0.8380764957196745,0.3926051809590866,0.33999999999999997,42012.53760311083,19681.186636854327,19681.186636854327,2006.9225104244904,358.34412285969375,3514.1553924420155,254.42432723038254,0.8362807156689133,0.1493213006303209,8695121.24590167,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,217.85714285714286,0.6419370501878057,0.8434066570248121,0.1532764460614999,0.1,43123.90401714265,7837.119487960609,7837.119487960609,799.1637804918713,357.50539935389037,3505.930324573829,253.82883354126216,0.3330099965568959,0.1489718061729922,8781496.62251659,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,217.85714285714286,0.6419370501878057,0.8434066570248121,0.2332764460614999,0.18,43123.90401714265,11927.56896762356,11927.56896762356,1216.2735457698154,357.50539935389037,3505.930324573829,253.82883354126216,0.5068188263484116,0.1489718061729922,8781496.62251659,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,217.85714285714286,0.6419370501878057,0.8434066570248121,0.3132764460614999,0.26,43123.90401714265,16018.018447286513,16018.018447286513,1633.38331104776,357.50539935389037,3505.930324573829,253.82883354126216,0.6806276561399274,0.1489718061729922,8781496.62251659,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,217.85714285714286,0.6419370501878057,0.8434066570248121,0.39327644606149986,0.33999999999999997,43123.90401714265,20108.467926949463,20108.467926949463,2050.493076325704,357.50539935389037,3505.930324573829,253.82883354126216,0.854436485931443,0.1489718061729922,8781496.62251659,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,220.0,0.6482511851076858,0.8489127438724519,0.1539743354385845,0.1,44263.510423264284,8028.439496044352,8028.439496044352,818.6729919028775,356.6666758480869,3497.7052567056417,253.2333398521417,0.34113944709431676,0.14862231171566345,8867871.999131506,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,220.0,0.6482511851076858,0.8489127438724519,0.23397433543858448,0.18,44263.510423264284,12199.75257789059,12199.75257789059,1244.028549799431,356.6666758480869,3497.7052567056417,253.2333398521417,0.5183842826690799,0.14862231171566345,8867871.999131506,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,220.0,0.6482511851076858,0.8489127438724519,0.3139743354385845,0.26,44263.510423264284,16371.065659736827,16371.065659736827,1669.3841076959848,356.6666758480869,3497.7052567056417,253.2333398521417,0.6956291182438431,0.14862231171566345,8867871.999131506,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
240,220.0,0.6482511851076858,0.8489127438724519,0.39397433543858446,0.33999999999999997,44263.510423264284,20542.378741583063,20542.378741583063,2094.739665592538,356.6666758480869,3497.7052567056417,253.2333398521417,0.8728739538186062,0.14862231171566345,8867871.999131506,1.1970021469944438,339.37462060089285,286.59,98474.9154361763,23534.186868235982,5.0,1.7999999999999998,False
250,190.0,0.5599167957505891,0.7856574358898308,0.14623039964542406,0.1,30525.20738210635,5681.500703534086,5681.500703534086,579.3518381439213,368.15151147936035,3610.333020049069,261.3875731503458,0.24141554455197253,0.15340850200140865,7652577.670497929,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,190.0,0.5599167957505891,0.7856574358898308,0.22623039964542405,0.18,30525.20738210635,8789.746713835884,8789.746713835884,896.3047232067918,368.15151147936035,3610.333020049069,261.3875731503458,0.37348961130545255,0.15340850200140865,7652577.670497929,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,190.0,0.5599167957505891,0.7856574358898308,0.3062303996454241,0.26,30525.20738210635,11897.992724137684,11897.992724137684,1213.2576082696623,368.15151147936035,3610.333020049069,261.3875731503458,0.5055636780589327,0.15340850200140865,7652577.670497929,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,190.0,0.5599167957505891,0.7856574358898308,0.38623039964542405,0.33999999999999997,30525.20738210635,15006.238734439483,15006.238734439483,1530.210493332533,368.15151147936035,3610.333020049069,261.3875731503458,0.6376377448124128,0.15340850200140865,7652577.670497929,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,192.14285714285714,0.5662316468304829,0.7893367280687682,0.14666441432960425,0.1,31363.823106087115,5827.6228425935105,5827.6228425935105,594.2521495713124,367.313259475622,3602.112576036608,260.7924142276916,0.24762449490028227,0.15305920292159111,7738884.937458432,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,192.14285714285714,0.5662316468304829,0.7893367280687682,0.22666441432960424,0.18,31363.823106087115,9006.37502688104,9006.37502688104,918.3946635070122,367.313259475622,3602.112576036608,260.7924142276916,0.3826944754580946,0.15305920292159111,7738884.937458432,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,192.14285714285714,0.5662316468304829,0.7893367280687682,0.30666441432960423,0.26,31363.823106087115,12185.12721116857,12185.12721116857,1242.537177442712,367.313259475622,3602.112576036608,260.7924142276916,0.5177644560159069,0.15305920292159111,7738884.937458432,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,192.14285714285714,0.5662316468304829,0.7893367280687682,0.3866644143296042,0.33999999999999997,31363.823106087115,15363.879395456099,15363.879395456099,1566.6796913784115,367.313259475622,3602.112576036608,260.7924142276916,0.6528344365737192,0.15305920292159111,7738884.937458432,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
